profiler,rate_hz,depth,target_wall,samples,expected
phpspy,49,30,5.303,260,260
reli,49,30,5.354,257,262
phpspy,99,30,5.503,517,545
reli,99,30,5.408,506,535
phpspy,200,30,5.353,998,1071
reli,200,30,5.363,984,1073
phpspy,500,30,5.278,2418,2639
reli,500,30,5.509,2446,2754
phpspy,1000,30,5.434,4739,5434
reli,1000,30,5.325,4132,5325
phpspy,49,100,5.245,170,257
reli,49,100,5.280,252,259
phpspy,99,100,5.245,340,519
reli,99,100,5.240,482,519
phpspy,200,100,5.270,678,1054
reli,200,100,5.355,970,1071
phpspy,500,100,5.293,1644,2646
reli,500,100,5.246,2337,2623
phpspy,1000,100,5.234,2168,5234
reli,1000,100,5.295,3774,5295
phpspy,49,200,5.030,108,246
reli,49,200,5.103,244,250
phpspy,99,200,5.053,199,500
reli,99,200,5.037,462,499
phpspy,200,200,5.075,372,1015
reli,200,200,5.120,928,1024
phpspy,500,200,5.281,765,2640
reli,500,200,5.167,2168,2584
phpspy,1000,200,5.135,1171,5135
reli,1000,200,5.111,2980,5111
