profiler,depth,target_wall,samples,expected_at_1khz
phpspy-1khz,10,5.242,4742,5242
phpspy-1khz-S,10,10.064,8905,10064
phpspy-1khz-b65k,10,5.200,4723,5200
phpspy-1khz-Sb65k,10,9.571,8578,9571
reli-1khz,10,5.272,4308,5272
reli-1khz-S,10,7.787,6596,7787
phpspy-1khz,30,5.505,4953,5505
phpspy-1khz-S,30,18.711,16021,18711
phpspy-1khz-b65k,30,5.445,4864,5445
phpspy-1khz-Sb65k,30,18.951,15952,18951
reli-1khz,30,5.297,4469,5297
reli-1khz-S,30,8.625,7132,8625
phpspy-1khz,100,5.328,2079,5328
phpspy-1khz-S,100,52.083,15993,52083
phpspy-1khz-b65k,100,5.289,2796,5289
phpspy-1khz-Sb65k,100,59.053,27928,59053
reli-1khz,100,5.346,4346,5346
reli-1khz-S,100,10.153,8202,10153
phpspy-1khz,200,5.158,1131,5158
phpspy-1khz-S,200,78.593,11569,78593
phpspy-1khz-b65k,200,5.204,1734,5204
phpspy-1khz-Sb65k,200,107.315,31370,107315
reli-1khz,200,5.159,2931,5159
reli-1khz-S,200,13.629,9797,13629
