profiler,depth,run,target_wall,sampler_user,sampler_sys,sampler_rss_kb
baseline,10,1,5.208,4.88,0.03,27688
excimer-1ms,10,1,5.222,6.84,0.12,29416
datadog-prof,10,1,5.387,5.88,0.08,43292
phpspy-1khz,10,1,5.166,3.20,0.26,8908
reli-1khz,10,1,5.242,8.30,0.32,53996
baseline,10,2,5.238,4.98,0.03,28544
excimer-1ms,10,2,5.237,6.67,0.14,30184
datadog-prof,10,2,5.268,5.64,0.04,43740
phpspy-1khz,10,2,5.165,3.31,0.28,7488
reli-1khz,10,2,5.298,7.94,0.35,53384
baseline,10,3,5.154,4.86,0.02,27308
excimer-1ms,10,3,5.229,6.98,0.07,30612
datadog-prof,10,3,5.504,5.86,0.03,44020
phpspy-1khz,10,3,5.414,3.57,0.43,8912
reli-1khz,10,3,5.239,8.41,0.29,53236
baseline,10,4,5.233,4.92,0.02,28548
excimer-1ms,10,4,5.301,7.25,0.10,29120
datadog-prof,10,4,5.349,5.43,0.05,42832
phpspy-1khz,10,4,5.455,3.47,0.38,7952
reli-1khz,10,4,5.491,8.95,0.33,53376
baseline,10,5,5.189,4.85,0.04,28720
excimer-1ms,10,5,5.221,6.84,0.09,29552
datadog-prof,10,5,5.268,5.27,0.04,42780
phpspy-1khz,10,5,5.469,3.71,0.30,8336
reli-1khz,10,5,5.198,8.50,0.33,53036
baseline,30,1,5.306,4.96,0.01,27820
excimer-1ms,30,1,5.513,7.31,0.12,29048
datadog-prof,30,1,5.406,5.51,0.06,42784
phpspy-1khz,30,1,5.353,3.60,0.29,8812
reli-1khz,30,1,5.431,8.92,0.25,53256
baseline,30,2,5.496,5.16,0.03,28612
excimer-1ms,30,2,5.364,7.00,0.12,29248
datadog-prof,30,2,5.463,5.99,0.02,42416
phpspy-1khz,30,2,5.403,3.39,0.35,8100
reli-1khz,30,2,5.348,8.36,0.32,53784
baseline,30,3,5.286,4.97,0.00,28528
excimer-1ms,30,3,5.351,7.14,0.13,30956
datadog-prof,30,3,5.641,5.60,0.03,42888
phpspy-1khz,30,3,5.477,3.52,0.37,8616
reli-1khz,30,3,5.371,8.77,0.25,53764
baseline,30,4,5.303,5.00,0.01,28576
excimer-1ms,30,4,5.576,7.66,0.16,29900
datadog-prof,30,4,5.438,5.85,0.02,43332
phpspy-1khz,30,4,5.311,3.55,0.37,8404
reli-1khz,30,4,5.477,8.46,0.29,53008
baseline,30,5,5.331,5.02,0.03,28980
excimer-1ms,30,5,5.331,6.98,0.20,30252
datadog-prof,30,5,5.407,5.54,0.04,42908
phpspy-1khz,30,5,5.500,3.26,0.37,7288
reli-1khz,30,5,5.398,8.55,0.27,53540
baseline,100,1,5.230,4.94,0.03,28360
excimer-1ms,100,1,5.303,6.81,0.14,29392
datadog-prof,100,1,5.449,5.52,0.04,42324
phpspy-1khz,100,1,5.389,,,
reli-1khz,100,1,5.346,8.24,0.30,53596
baseline,100,2,5.240,4.98,0.02,28016
excimer-1ms,100,2,5.356,7.00,0.05,29304
datadog-prof,100,2,5.530,5.42,0.02,42480
phpspy-1khz,100,2,5.318,4.37,0.60,7424
reli-1khz,100,2,5.346,8.22,0.29,53128
baseline,100,3,5.242,4.93,0.04,28784
excimer-1ms,100,3,5.273,6.96,0.09,29500
datadog-prof,100,3,5.401,5.64,0.02,43188
phpspy-1khz,100,3,5.296,4.20,0.75,8376
reli-1khz,100,3,5.444,8.39,0.30,52536
baseline,100,4,5.300,4.99,0.01,27888
excimer-1ms,100,4,5.378,7.30,0.14,29476
datadog-prof,100,4,5.401,5.88,0.05,43564
phpspy-1khz,100,4,5.252,4.35,0.56,8504
reli-1khz,100,4,5.372,8.26,0.21,53432
baseline,100,5,5.258,4.95,0.00,27232
excimer-1ms,100,5,5.295,7.15,0.08,29616
datadog-prof,100,5,5.396,5.76,0.01,42268
phpspy-1khz,100,5,5.306,4.27,0.62,8540
reli-1khz,100,5,5.453,8.59,0.29,53444
baseline,200,1,5.051,4.75,0.01,28896
excimer-1ms,200,1,5.228,7.44,0.06,29112
datadog-prof,200,1,5.190,5.44,0.05,43236
phpspy-1khz,200,1,5.163,4.32,0.71,8520
reli-1khz,200,1,5.183,8.64,0.30,52668
baseline,200,2,5.066,4.74,0.03,27988
excimer-1ms,200,2,5.143,7.08,0.12,30892
datadog-prof,200,2,5.211,5.45,0.01,44076
phpspy-1khz,200,2,5.132,4.36,0.70,8588
reli-1khz,200,2,5.172,8.14,0.36,53036
baseline,200,3,5.174,4.83,0.03,27932
excimer-1ms,200,3,5.296,7.43,0.13,30668
datadog-prof,200,3,5.206,5.05,0.05,42408
phpspy-1khz,200,3,5.095,4.42,0.62,8820
reli-1khz,200,3,5.170,8.36,0.43,54152
baseline,200,4,5.066,4.75,0.02,28748
excimer-1ms,200,4,5.091,7.00,0.08,31092
datadog-prof,200,4,5.171,5.60,0.03,42908
phpspy-1khz,200,4,5.093,4.30,0.63,8752
reli-1khz,200,4,5.186,8.35,0.25,54196
baseline,200,5,5.040,4.74,0.02,27140
excimer-1ms,200,5,5.149,7.15,0.08,30960
datadog-prof,200,5,5.196,4.97,0.04,43372
phpspy-1khz,200,5,5.069,4.23,0.59,7508
reli-1khz,200,5,5.111,8.27,0.42,53128
