config,bench,run,wall_seconds
datadog-prof,fib-37,1,1.202
datadog-prof,fib-37,2,1.211
datadog-prof,fib-37,3,1.198
datadog-prof,fib-37,4,1.200
datadog-prof,fib-37,5,1.224
datadog-prof,fib-37,6,1.197
datadog-prof,fib-37,7,1.212
datadog-prof,fib-37,8,1.213
datadog-prof,fib-37,9,1.204
datadog-prof,fib-37,10,1.196
datadog-prof,sort-100k-x100,1,2.416
datadog-prof,sort-100k-x100,2,2.419
datadog-prof,sort-100k-x100,3,2.429
datadog-prof,sort-100k-x100,4,2.381
datadog-prof,sort-100k-x100,5,2.402
datadog-prof,sort-100k-x100,6,2.421
datadog-prof,sort-100k-x100,7,2.446
datadog-prof,sort-100k-x100,8,2.438
datadog-prof,sort-100k-x100,9,2.465
datadog-prof,sort-100k-x100,10,2.448
datadog-prof,mandelbrot-500,1,0.795
datadog-prof,mandelbrot-500,2,0.794
datadog-prof,mandelbrot-500,3,0.798
datadog-prof,mandelbrot-500,4,0.794
datadog-prof,mandelbrot-500,5,0.792
datadog-prof,mandelbrot-500,6,0.793
datadog-prof,mandelbrot-500,7,0.798
datadog-prof,mandelbrot-500,8,0.810
datadog-prof,mandelbrot-500,9,0.804
datadog-prof,mandelbrot-500,10,0.794
datadog-prof,depth-30-2M,1,2.471
datadog-prof,depth-30-2M,2,2.423
datadog-prof,depth-30-2M,3,2.528
datadog-prof,depth-30-2M,4,2.417
datadog-prof,depth-30-2M,5,2.453
datadog-prof,depth-30-2M,6,2.426
datadog-prof,depth-30-2M,7,2.459
datadog-prof,depth-30-2M,8,2.401
datadog-prof,depth-30-2M,9,2.471
datadog-prof,depth-30-2M,10,2.449
datadog-prof,depth-100-1M,1,2.234
datadog-prof,depth-100-1M,2,2.184
datadog-prof,depth-100-1M,3,2.180
datadog-prof,depth-100-1M,4,2.181
datadog-prof,depth-100-1M,5,2.173
datadog-prof,depth-100-1M,6,2.148
datadog-prof,depth-100-1M,7,2.234
datadog-prof,depth-100-1M,8,2.156
datadog-prof,depth-100-1M,9,2.210
datadog-prof,depth-100-1M,10,2.178
datadog-prof-short,fib-32,1,0.112
datadog-prof-short,fib-32,2,0.107
datadog-prof-short,fib-32,3,0.108
datadog-prof-short,fib-32,4,0.108
datadog-prof-short,fib-32,5,0.115
datadog-prof-short,fib-32,6,0.108
datadog-prof-short,fib-32,7,0.108
datadog-prof-short,fib-32,8,0.111
datadog-prof-short,fib-32,9,0.106
datadog-prof-short,fib-32,10,0.109
datadog-prof-short,sort-100k-x10,1,0.243
datadog-prof-short,sort-100k-x10,2,0.242
datadog-prof-short,sort-100k-x10,3,0.243
datadog-prof-short,sort-100k-x10,4,0.244
datadog-prof-short,sort-100k-x10,5,0.244
datadog-prof-short,sort-100k-x10,6,0.240
datadog-prof-short,sort-100k-x10,7,0.240
datadog-prof-short,sort-100k-x10,8,0.244
datadog-prof-short,sort-100k-x10,9,0.242
datadog-prof-short,sort-100k-x10,10,0.240
datadog-prof-short,mandelbrot-200,1,0.088
datadog-prof-short,mandelbrot-200,2,0.087
datadog-prof-short,mandelbrot-200,3,0.088
datadog-prof-short,mandelbrot-200,4,0.087
datadog-prof-short,mandelbrot-200,5,0.088
datadog-prof-short,mandelbrot-200,6,0.088
datadog-prof-short,mandelbrot-200,7,0.088
datadog-prof-short,mandelbrot-200,8,0.089
datadog-prof-short,mandelbrot-200,9,0.088
datadog-prof-short,mandelbrot-200,10,0.090
datadog-prof-short,depth-30,1,0.240
datadog-prof-short,depth-30,2,0.242
datadog-prof-short,depth-30,3,0.242
datadog-prof-short,depth-30,4,0.247
datadog-prof-short,depth-30,5,0.255
datadog-prof-short,depth-30,6,0.246
datadog-prof-short,depth-30,7,0.245
datadog-prof-short,depth-30,8,0.241
datadog-prof-short,depth-30,9,0.243
datadog-prof-short,depth-30,10,0.244
datadog-prof-short,depth-100,1,0.214
datadog-prof-short,depth-100,2,0.213
datadog-prof-short,depth-100,3,0.213
datadog-prof-short,depth-100,4,0.215
datadog-prof-short,depth-100,5,0.216
datadog-prof-short,depth-100,6,0.219
datadog-prof-short,depth-100,7,0.224
datadog-prof-short,depth-100,8,0.213
datadog-prof-short,depth-100,9,0.217
datadog-prof-short,depth-100,10,0.212
