config,bench,run,wall_seconds
datadog-prof-FIXED,fib-32,1,0.094
datadog-prof-FIXED,fib-32,2,0.125
datadog-prof-FIXED,fib-32,3,0.113
datadog-prof-FIXED,sort-100k-x10,1,0.215
datadog-prof-FIXED,sort-100k-x10,2,0.238
datadog-prof-FIXED,sort-100k-x10,3,0.234
datadog-prof-FIXED,mandelbrot-200,1,0.089
datadog-prof-FIXED,mandelbrot-200,2,0.082
datadog-prof-FIXED,mandelbrot-200,3,0.089
datadog-prof-FIXED,depth-30,1,0.230
datadog-prof-FIXED,depth-30,2,0.248
datadog-prof-FIXED,depth-30,3,0.250
datadog-prof-FIXED,depth-100,1,0.220
datadog-prof-FIXED,depth-100,2,0.247
datadog-prof-FIXED,depth-100,3,0.205
datadog-prof-FIXED-long,fib-37,1,1.124
datadog-prof-FIXED-long,fib-37,2,1.214
datadog-prof-FIXED-long,fib-37,3,1.141
datadog-prof-FIXED-long,fib-37,4,1.174
datadog-prof-FIXED-long,fib-37,5,1.235
datadog-prof-FIXED-long,fib-37,6,1.188
datadog-prof-FIXED-long,fib-37,7,1.176
datadog-prof-FIXED-long,fib-37,8,1.156
datadog-prof-FIXED-long,fib-37,9,1.202
datadog-prof-FIXED-long,fib-37,10,1.216
datadog-prof-FIXED-long,sort-100k-x100,1,2.310
datadog-prof-FIXED-long,sort-100k-x100,2,2.321
datadog-prof-FIXED-long,sort-100k-x100,3,2.307
datadog-prof-FIXED-long,sort-100k-x100,4,2.363
datadog-prof-FIXED-long,sort-100k-x100,5,2.356
datadog-prof-FIXED-long,sort-100k-x100,6,2.356
datadog-prof-FIXED-long,sort-100k-x100,7,2.436
datadog-prof-FIXED-long,sort-100k-x100,8,2.381
datadog-prof-FIXED-long,sort-100k-x100,9,2.340
datadog-prof-FIXED-long,sort-100k-x100,10,2.387
datadog-prof-FIXED-long,mandelbrot-500,1,0.749
datadog-prof-FIXED-long,mandelbrot-500,2,0.804
datadog-prof-FIXED-long,mandelbrot-500,3,0.786
datadog-prof-FIXED-long,mandelbrot-500,4,0.785
datadog-prof-FIXED-long,mandelbrot-500,5,0.782
datadog-prof-FIXED-long,mandelbrot-500,6,0.805
datadog-prof-FIXED-long,mandelbrot-500,7,0.762
datadog-prof-FIXED-long,mandelbrot-500,8,0.774
datadog-prof-FIXED-long,mandelbrot-500,9,0.805
datadog-prof-FIXED-long,mandelbrot-500,10,0.779
datadog-prof-FIXED-long,depth-30-2M,1,2.542
datadog-prof-FIXED-long,depth-30-2M,2,2.470
datadog-prof-FIXED-long,depth-30-2M,3,2.392
datadog-prof-FIXED-long,depth-30-2M,4,2.302
datadog-prof-FIXED-long,depth-30-2M,5,2.355
datadog-prof-FIXED-long,depth-30-2M,6,2.384
datadog-prof-FIXED-long,depth-30-2M,7,2.309
datadog-prof-FIXED-long,depth-30-2M,8,2.488
datadog-prof-FIXED-long,depth-30-2M,9,2.381
datadog-prof-FIXED-long,depth-30-2M,10,2.314
datadog-prof-FIXED-long,depth-100-1M,1,2.127
datadog-prof-FIXED-long,depth-100-1M,2,2.054
datadog-prof-FIXED-long,depth-100-1M,3,2.171
datadog-prof-FIXED-long,depth-100-1M,4,2.232
datadog-prof-FIXED-long,depth-100-1M,5,2.223
datadog-prof-FIXED-long,depth-100-1M,6,2.211
datadog-prof-FIXED-long,depth-100-1M,7,2.206
datadog-prof-FIXED-long,depth-100-1M,8,2.057
datadog-prof-FIXED-long,depth-100-1M,9,2.194
datadog-prof-FIXED-long,depth-100-1M,10,2.172
