config,bench,run,wall_seconds
phpspy-1khz,fib-32,1,0.111
reli-1khz,fib-32,1,0.110
phpspy-1khz,fib-32,2,0.116
reli-1khz,fib-32,2,0.093
phpspy-1khz,fib-32,3,0.111
reli-1khz,fib-32,3,0.109
phpspy-1khz,sort-100k-x10,1,0.230
reli-1khz,sort-100k-x10,1,0.232
phpspy-1khz,sort-100k-x10,2,0.232
reli-1khz,sort-100k-x10,2,0.234
phpspy-1khz,sort-100k-x10,3,0.236
reli-1khz,sort-100k-x10,3,0.233
phpspy-1khz,mandelbrot-200,1,0.070
reli-1khz,mandelbrot-200,1,0.090
phpspy-1khz,mandelbrot-200,2,0.089
reli-1khz,mandelbrot-200,2,0.089
phpspy-1khz,mandelbrot-200,3,0.088
reli-1khz,mandelbrot-200,3,0.089
phpspy-1khz,depth-30,1,0.256
reli-1khz,depth-30,1,0.206
phpspy-1khz,depth-30,2,0.265
reli-1khz,depth-30,2,0.247
phpspy-1khz,depth-30,3,0.202
reli-1khz,depth-30,3,0.246
phpspy-1khz,depth-100,1,0.218
reli-1khz,depth-100,1,0.224
phpspy-1khz,depth-100,2,0.222
reli-1khz,depth-100,2,0.174
phpspy-1khz,depth-100,3,0.225
reli-1khz,depth-100,3,0.228
