config,bench,run,wall_seconds
baseline-jit,fib-37,1,0.378
baseline-jit,fib-37,2,0.367
baseline-jit,fib-37,3,0.290
baseline-jit,fib-37,4,0.369
baseline-jit,fib-37,5,0.375
baseline-jit,fib-37,6,0.289
baseline-jit,fib-37,7,0.366
baseline-jit,fib-37,8,0.369
baseline-jit,fib-37,9,0.380
baseline-jit,fib-37,10,0.366
baseline-jit,sort-100k-x100,1,2.222
baseline-jit,sort-100k-x100,2,2.347
baseline-jit,sort-100k-x100,3,2.267
baseline-jit,sort-100k-x100,4,2.319
baseline-jit,sort-100k-x100,5,2.312
baseline-jit,sort-100k-x100,6,2.241
baseline-jit,sort-100k-x100,7,2.354
baseline-jit,sort-100k-x100,8,2.246
baseline-jit,sort-100k-x100,9,2.241
baseline-jit,sort-100k-x100,10,2.332
baseline-jit,mandelbrot-500,1,0.422
baseline-jit,mandelbrot-500,2,0.423
baseline-jit,mandelbrot-500,3,0.427
baseline-jit,mandelbrot-500,4,0.438
baseline-jit,mandelbrot-500,5,0.433
baseline-jit,mandelbrot-500,6,0.424
baseline-jit,mandelbrot-500,7,0.421
baseline-jit,mandelbrot-500,8,0.454
baseline-jit,mandelbrot-500,9,0.417
baseline-jit,mandelbrot-500,10,0.431
baseline-jit,depth-30-2M,1,0.534
baseline-jit,depth-30-2M,2,0.516
baseline-jit,depth-30-2M,3,0.397
baseline-jit,depth-30-2M,4,0.512
baseline-jit,depth-30-2M,5,0.404
baseline-jit,depth-30-2M,6,0.505
baseline-jit,depth-30-2M,7,0.516
baseline-jit,depth-30-2M,8,0.515
baseline-jit,depth-30-2M,9,0.516
baseline-jit,depth-30-2M,10,0.511
baseline-jit,depth-100-1M,1,0.516
baseline-jit,depth-100-1M,2,0.640
baseline-jit,depth-100-1M,3,0.692
baseline-jit,depth-100-1M,4,0.648
baseline-jit,depth-100-1M,5,0.632
baseline-jit,depth-100-1M,6,0.634
baseline-jit,depth-100-1M,7,0.636
baseline-jit,depth-100-1M,8,0.643
baseline-jit,depth-100-1M,9,0.637
baseline-jit,depth-100-1M,10,0.638
excimer-1ms-jit,fib-37,1,0.385
excimer-1ms-jit,fib-37,2,0.287
excimer-1ms-jit,fib-37,3,0.375
excimer-1ms-jit,fib-37,4,0.370
excimer-1ms-jit,fib-37,5,0.367
excimer-1ms-jit,fib-37,6,0.369
excimer-1ms-jit,fib-37,7,0.379
excimer-1ms-jit,fib-37,8,0.372
excimer-1ms-jit,fib-37,9,0.287
excimer-1ms-jit,fib-37,10,0.370
excimer-1ms-jit,sort-100k-x100,1,2.341
excimer-1ms-jit,sort-100k-x100,2,2.301
excimer-1ms-jit,sort-100k-x100,3,2.338
excimer-1ms-jit,sort-100k-x100,4,2.304
excimer-1ms-jit,sort-100k-x100,5,2.323
excimer-1ms-jit,sort-100k-x100,6,2.291
excimer-1ms-jit,sort-100k-x100,7,2.286
excimer-1ms-jit,sort-100k-x100,8,2.332
excimer-1ms-jit,sort-100k-x100,9,2.327
excimer-1ms-jit,sort-100k-x100,10,2.204
excimer-1ms-jit,mandelbrot-500,1,0.365
excimer-1ms-jit,mandelbrot-500,2,0.433
excimer-1ms-jit,mandelbrot-500,3,0.426
excimer-1ms-jit,mandelbrot-500,4,0.425
excimer-1ms-jit,mandelbrot-500,5,0.420
excimer-1ms-jit,mandelbrot-500,6,0.435
excimer-1ms-jit,mandelbrot-500,7,0.434
excimer-1ms-jit,mandelbrot-500,8,0.430
excimer-1ms-jit,mandelbrot-500,9,0.431
excimer-1ms-jit,mandelbrot-500,10,0.428
excimer-1ms-jit,depth-30-2M,1,0.513
excimer-1ms-jit,depth-30-2M,2,0.516
excimer-1ms-jit,depth-30-2M,3,0.512
excimer-1ms-jit,depth-30-2M,4,0.526
excimer-1ms-jit,depth-30-2M,5,0.507
excimer-1ms-jit,depth-30-2M,6,0.504
excimer-1ms-jit,depth-30-2M,7,0.511
excimer-1ms-jit,depth-30-2M,8,0.514
excimer-1ms-jit,depth-30-2M,9,0.523
excimer-1ms-jit,depth-30-2M,10,0.511
excimer-1ms-jit,depth-100-1M,1,0.643
excimer-1ms-jit,depth-100-1M,2,0.654
excimer-1ms-jit,depth-100-1M,3,0.640
excimer-1ms-jit,depth-100-1M,4,0.637
excimer-1ms-jit,depth-100-1M,5,0.501
excimer-1ms-jit,depth-100-1M,6,0.503
excimer-1ms-jit,depth-100-1M,7,0.505
excimer-1ms-jit,depth-100-1M,8,0.607
excimer-1ms-jit,depth-100-1M,9,0.500
excimer-1ms-jit,depth-100-1M,10,0.687
datadog-prof-jit,fib-37,1,0.349
datadog-prof-jit,fib-37,2,0.350
datadog-prof-jit,fib-37,3,0.337
datadog-prof-jit,fib-37,4,0.353
datadog-prof-jit,fib-37,5,0.344
datadog-prof-jit,fib-37,6,0.329
datadog-prof-jit,fib-37,7,0.370
datadog-prof-jit,fib-37,8,0.361
datadog-prof-jit,fib-37,9,0.400
datadog-prof-jit,fib-37,10,0.352
datadog-prof-jit,sort-100k-x100,1,2.279
datadog-prof-jit,sort-100k-x100,2,2.374
datadog-prof-jit,sort-100k-x100,3,2.380
