config,bench,run,wall_seconds
baseline,fib-37,1,1.196
baseline,fib-37,2,1.193
baseline,fib-37,3,1.219
baseline,fib-37,4,1.188
baseline,fib-37,5,1.207
baseline,fib-37,6,0.992
baseline,fib-37,7,1.195
baseline,fib-37,8,1.038
baseline,fib-37,9,1.196
baseline,fib-37,10,1.195
baseline,sort-100k-x100,1,2.336
baseline,sort-100k-x100,2,2.309
baseline,sort-100k-x100,3,2.256
baseline,sort-100k-x100,4,2.309
baseline,sort-100k-x100,5,2.229
baseline,sort-100k-x100,6,2.202
baseline,sort-100k-x100,7,2.358
baseline,sort-100k-x100,8,2.259
baseline,sort-100k-x100,9,2.290
baseline,sort-100k-x100,10,2.158
baseline,mandelbrot-500,1,0.623
baseline,mandelbrot-500,2,0.625
baseline,mandelbrot-500,3,0.636
baseline,mandelbrot-500,4,0.622
baseline,mandelbrot-500,5,0.623
baseline,mandelbrot-500,6,0.797
baseline,mandelbrot-500,7,0.791
baseline,mandelbrot-500,8,0.790
baseline,mandelbrot-500,9,0.792
baseline,mandelbrot-500,10,0.801
baseline,depth-30-2M,1,2.106
baseline,depth-30-2M,2,2.451
baseline,depth-30-2M,3,2.482
baseline,depth-30-2M,4,2.279
baseline,depth-30-2M,5,1.933
baseline,depth-30-2M,6,1.873
baseline,depth-30-2M,7,2.552
baseline,depth-30-2M,8,2.436
baseline,depth-30-2M,9,1.952
baseline,depth-30-2M,10,2.467
baseline,depth-100-1M,1,2.330
baseline,depth-100-1M,2,1.715
baseline,depth-100-1M,3,2.146
baseline,depth-100-1M,4,2.210
baseline,depth-100-1M,5,2.146
baseline,depth-100-1M,6,1.698
baseline,depth-100-1M,7,1.695
baseline,depth-100-1M,8,1.685
baseline,depth-100-1M,9,1.718
baseline,depth-100-1M,10,1.682
excimer-1ms,fib-37,1,0.984
excimer-1ms,fib-37,2,1.234
excimer-1ms,fib-37,3,1.236
excimer-1ms,fib-37,4,1.176
excimer-1ms,fib-37,5,1.220
excimer-1ms,fib-37,6,1.234
excimer-1ms,fib-37,7,1.201
excimer-1ms,fib-37,8,1.251
excimer-1ms,fib-37,9,1.043
excimer-1ms,fib-37,10,0.941
excimer-1ms,sort-100k-x100,1,2.271
excimer-1ms,sort-100k-x100,2,2.350
excimer-1ms,sort-100k-x100,3,2.287
excimer-1ms,sort-100k-x100,4,2.404
excimer-1ms,sort-100k-x100,5,2.295
excimer-1ms,sort-100k-x100,6,2.308
excimer-1ms,sort-100k-x100,7,2.339
excimer-1ms,sort-100k-x100,8,2.374
excimer-1ms,sort-100k-x100,9,2.342
excimer-1ms,sort-100k-x100,10,2.324
excimer-1ms,mandelbrot-500,1,0.795
excimer-1ms,mandelbrot-500,2,0.802
excimer-1ms,mandelbrot-500,3,0.761
excimer-1ms,mandelbrot-500,4,0.787
excimer-1ms,mandelbrot-500,5,0.807
excimer-1ms,mandelbrot-500,6,0.801
excimer-1ms,mandelbrot-500,7,0.798
excimer-1ms,mandelbrot-500,8,0.749
excimer-1ms,mandelbrot-500,9,0.788
excimer-1ms,mandelbrot-500,10,0.806
excimer-1ms,depth-30-2M,1,1.943
excimer-1ms,depth-30-2M,2,2.472
excimer-1ms,depth-30-2M,3,2.500
excimer-1ms,depth-30-2M,4,2.144
excimer-1ms,depth-30-2M,5,2.358
excimer-1ms,depth-30-2M,6,2.442
excimer-1ms,depth-30-2M,7,2.506
