config,bench,run,wall_seconds
baseline,fib-32,1,0.114
baseline,fib-32,2,0.110
baseline,fib-32,3,0.107
baseline,sort-100k-x10,1,0.239
baseline,sort-100k-x10,2,0.230
baseline,sort-100k-x10,3,0.229
baseline,mandelbrot-200,1,0.086
baseline,mandelbrot-200,2,0.086
baseline,mandelbrot-200,3,0.089
baseline,depth-30,1,0.193
baseline,depth-30,2,0.187
baseline,depth-30,3,0.249
baseline,depth-100,1,0.222
baseline,depth-100,2,0.210
baseline,depth-100,3,0.211
xdebug-profile,fib-32,1,6.818
xdebug-profile,fib-32,2,6.485
xdebug-profile,fib-32,3,7.058
xdebug-profile,sort-100k-x10,1,0.199
xdebug-profile,sort-100k-x10,2,0.235
xdebug-profile,sort-100k-x10,3,0.222
xdebug-profile,mandelbrot-200,1,0.417
xdebug-profile,mandelbrot-200,2,0.412
xdebug-profile,mandelbrot-200,3,0.512
xdebug-profile,depth-30,1,8.275
xdebug-profile,depth-30,2,8.699
xdebug-profile,depth-30,3,8.243
xdebug-profile,depth-100,1,10.505
xdebug-profile,depth-100,2,10.879
xdebug-profile,depth-100,3,11.178
xhprof,fib-32,1,71.056
xhprof,fib-32,2,65.084
xhprof,fib-32,3,69.887
xhprof,sort-100k-x10,1,0.217
xhprof,sort-100k-x10,2,0.196
xhprof,sort-100k-x10,3,0.227
xhprof,mandelbrot-200,1,0.070
xhprof,mandelbrot-200,2,0.090
xhprof,mandelbrot-200,3,0.090
xhprof,depth-30,1,54.924
xhprof,depth-30,2,57.466
xhprof,depth-30,3,51.745
xhprof,depth-100,1,84.262
xhprof,depth-100,2,84.542
xhprof,depth-100,3,86.598
excimer-1ms,fib-32,1,0.109
excimer-1ms,fib-32,2,0.108
excimer-1ms,fib-32,3,0.113
excimer-1ms,sort-100k-x10,1,0.219
excimer-1ms,sort-100k-x10,2,0.239
excimer-1ms,sort-100k-x10,3,0.249
excimer-1ms,mandelbrot-200,1,0.069
excimer-1ms,mandelbrot-200,2,0.070
excimer-1ms,mandelbrot-200,3,0.089
excimer-1ms,depth-30,1,0.193
excimer-1ms,depth-30,2,0.194
excimer-1ms,depth-30,3,0.240
excimer-1ms,depth-100,1,0.232
excimer-1ms,depth-100,2,0.214
excimer-1ms,depth-100,3,0.167
spx-instr,fib-32,1,4.472
spx-instr,fib-32,2,4.526
spx-instr,fib-32,3,4.216
spx-instr,sort-100k-x10,1,0.230
spx-instr,sort-100k-x10,2,0.238
spx-instr,sort-100k-x10,3,0.235
spx-instr,mandelbrot-200,1,0.090
spx-instr,mandelbrot-200,2,0.069
spx-instr,mandelbrot-200,3,0.086
spx-instr,depth-30,1,3.558
spx-instr,depth-30,2,3.762
spx-instr,depth-30,3,3.586
spx-instr,depth-100,1,6.220
spx-instr,depth-100,2,6.181
spx-instr,depth-100,3,6.367
spx-sample-1ms,fib-32,1,0.290
spx-sample-1ms,fib-32,2,0.301
spx-sample-1ms,fib-32,3,0.230
spx-sample-1ms,sort-100k-x10,1,0.242
spx-sample-1ms,sort-100k-x10,2,0.228
spx-sample-1ms,sort-100k-x10,3,0.228
spx-sample-1ms,mandelbrot-200,1,0.096
spx-sample-1ms,mandelbrot-200,2,0.088
spx-sample-1ms,mandelbrot-200,3,0.088
spx-sample-1ms,depth-30,1,0.322
spx-sample-1ms,depth-30,2,0.317
spx-sample-1ms,depth-30,3,0.312
spx-sample-1ms,depth-100,1,0.455
spx-sample-1ms,depth-100,2,0.450
spx-sample-1ms,depth-100,3,0.455
datadog-prof,fib-32,1,0.112
datadog-prof,fib-32,2,0.107
datadog-prof,fib-32,3,0.108
datadog-prof,fib-32,4,0.108
datadog-prof,fib-32,5,0.115
datadog-prof,fib-32,6,0.108
datadog-prof,fib-32,7,0.108
datadog-prof,fib-32,8,0.111
datadog-prof,fib-32,9,0.106
datadog-prof,fib-32,10,0.109
datadog-prof,sort-100k-x10,1,0.243
datadog-prof,sort-100k-x10,2,0.242
datadog-prof,sort-100k-x10,3,0.243
datadog-prof,sort-100k-x10,4,0.244
datadog-prof,sort-100k-x10,5,0.244
datadog-prof,sort-100k-x10,6,0.240
datadog-prof,sort-100k-x10,7,0.240
datadog-prof,sort-100k-x10,8,0.244
datadog-prof,sort-100k-x10,9,0.242
datadog-prof,sort-100k-x10,10,0.240
datadog-prof,mandelbrot-200,1,0.088
datadog-prof,mandelbrot-200,2,0.087
datadog-prof,mandelbrot-200,3,0.088
datadog-prof,mandelbrot-200,4,0.087
datadog-prof,mandelbrot-200,5,0.088
datadog-prof,mandelbrot-200,6,0.088
datadog-prof,mandelbrot-200,7,0.088
datadog-prof,mandelbrot-200,8,0.089
datadog-prof,mandelbrot-200,9,0.088
datadog-prof,mandelbrot-200,10,0.090
datadog-prof,depth-30,1,0.240
datadog-prof,depth-30,2,0.242
datadog-prof,depth-30,3,0.242
datadog-prof,depth-30,4,0.247
datadog-prof,depth-30,5,0.255
datadog-prof,depth-30,6,0.246
datadog-prof,depth-30,7,0.245
datadog-prof,depth-30,8,0.241
datadog-prof,depth-30,9,0.243
datadog-prof,depth-30,10,0.244
datadog-prof,depth-100,1,0.214
datadog-prof,depth-100,2,0.213
datadog-prof,depth-100,3,0.213
datadog-prof,depth-100,4,0.215
datadog-prof,depth-100,5,0.216
datadog-prof,depth-100,6,0.219
datadog-prof,depth-100,7,0.224
datadog-prof,depth-100,8,0.213
datadog-prof,depth-100,9,0.217
datadog-prof,depth-100,10,0.212
