config,bench,run,wall_seconds
baseline,laravel-route-2000,1,6.611
baseline,laravel-route-2000,2,6.635
baseline,laravel-route-2000,3,6.614
baseline,laravel-route-2000,4,6.508
baseline,laravel-route-2000,5,6.702
excimer,laravel-route-2000,1,7.355
excimer,laravel-route-2000,2,6.721
excimer,laravel-route-2000,3,6.980
excimer,laravel-route-2000,4,7.016
excimer,laravel-route-2000,5,6.444
datadog-prof,laravel-route-2000,1,6.913
datadog-prof,laravel-route-2000,2,6.879
datadog-prof,laravel-route-2000,3,7.116
datadog-prof,laravel-route-2000,4,6.904
datadog-prof,laravel-route-2000,5,6.739
xhprof,laravel-route-50,1,5.981
xhprof,laravel-route-50,2,5.654
xdebug-profile,laravel-route-50,1,1.523
xdebug-profile,laravel-route-50,2,1.460
baseline-50,laravel-route-50,1,1.313
baseline-50,laravel-route-50,2,1.324
baseline-50,laravel-route-50,3,1.376
baseline-50,laravel-route-50,4,1.297
baseline-50,laravel-route-50,5,1.426
baseline,composer-install,1,9.6768999099731
baseline,composer-install,2,10.266799926758
baseline,composer-install,3,11.134500026703
baseline,composer-install,4,11.239799976349
baseline,composer-install,5,11.45140004158
excimer,composer-install,1,11.572000026703
excimer,composer-install,2,11.74279999733
excimer,composer-install,3,11.538100004196
excimer,composer-install,4,11.749699831009
excimer,composer-install,5,11.450100183487
datadog-prof,composer-install,1,11.991099834442
datadog-prof,composer-install,2,12.076099872589
datadog-prof,composer-install,3,11.636600017548
datadog-prof,composer-install,4,12.145599842072
datadog-prof,composer-install,5,11.822799921036
phpspy-200hz,laravel-route-2000,1,12.299
reli-200hz,laravel-route-2000,1,11.709
phpspy-200hz,laravel-route-2000,2,10.998
reli-200hz,laravel-route-2000,2,12.798
phpspy-200hz,laravel-route-2000,3,12.951
reli-200hz,laravel-route-2000,3,12.784
phpspy-200hz,laravel-route-2000,4,10.899
reli-200hz,laravel-route-2000,4,12.648
phpspy-200hz,laravel-route-2000,5,13.128
reli-200hz,laravel-route-2000,5,9.735
phpspy-200hz,composer-install,1,8.1907000541687
reli-200hz,composer-install,1,7.719899892807
phpspy-200hz,composer-install,2,10.891200065613
reli-200hz,composer-install,2,8.6537001132965
phpspy-200hz,composer-install,3,8.5789999961853
reli-200hz,composer-install,3,9.0039999485016
phpspy-200hz,composer-install,4,8.7192001342773
reli-200hz,composer-install,4,9.0519998073578
phpspy-200hz,composer-install,5,8.7485001087189
reli-200hz,composer-install,5,9.1039998531342
baseline-il,laravel-route-2000,1,4.818
phpspy-200hz-il,laravel-route-2000,1,4.668
reli-200hz-il,laravel-route-2000,1,4.695
baseline-il,laravel-route-2000,2,4.789
phpspy-200hz-il,laravel-route-2000,2,4.838
reli-200hz-il,laravel-route-2000,2,4.620
baseline-il,laravel-route-2000,3,4.656
phpspy-200hz-il,laravel-route-2000,3,4.798
reli-200hz-il,laravel-route-2000,3,4.340
baseline-il,laravel-route-2000,4,4.666
phpspy-200hz-il,laravel-route-2000,4,4.119
reli-200hz-il,laravel-route-2000,4,5.076
baseline-il,laravel-route-2000,5,4.596
phpspy-200hz-il,laravel-route-2000,5,4.685
reli-200hz-il,laravel-route-2000,5,4.714
baseline-il,composer-install,1,6.6796000003815
phpspy-200hz-il,composer-install,1,7.4846999645233
reli-200hz-il,composer-install,1,8.4298000335693
baseline-il,composer-install,2,8.361799955368
phpspy-200hz-il,composer-install,2,8.320100069046
reli-200hz-il,composer-install,2,8.8245000839233
baseline-il,composer-install,3,8.5429000854492
phpspy-200hz-il,composer-install,3,8.7727999687195
reli-200hz-il,composer-install,3,8.728000164032
baseline-il,composer-install,4,8.2346000671387
phpspy-200hz-il,composer-install,4,8.3659999370575
reli-200hz-il,composer-install,4,8.4279000759125
baseline-il,composer-install,5,8.2263000011444
phpspy-200hz-il,composer-install,5,8.2339999675751
reli-200hz-il,composer-install,5,8.8361001014709
