profiler,rate_hz,depth,target_wall,samples,expected
phpspy,49,30,3.404,177,167
reli,49,30,3.809,186,187
phpspy,99,30,3.487,364,345
reli,99,30,3.421,337,339
phpspy,200,30,4.043,841,809
reli,200,30,4.117,811,823
phpspy,500,30,3.725,1899,1862
reli,500,30,3.605,1751,1802
phpspy,1000,30,3.466,3472,3466
reli,1000,30,3.574,3380,3574
phpspy,49,100,3.174,105,156
reli,49,100,3.119,152,153
phpspy,99,100,3.143,235,311
reli,99,100,3.161,311,313
phpspy,200,100,3.119,419,624
reli,200,100,3.151,622,630
phpspy,500,100,3.149,1089,1574
reli,500,100,3.148,1530,1574
phpspy,1000,100,3.171,2194,3171
reli,1000,100,3.248,3080,3248
phpspy,49,200,2.991,56,147
reli,49,200,3.062,150,150
phpspy,99,200,3.041,135,301
reli,99,200,2.962,291,293
phpspy,200,200,3.002,250,600
reli,200,200,2.981,589,596
phpspy,500,200,3.095,678,1548
reli,500,200,2.995,1457,1498
phpspy,1000,200,3.060,1278,3060
reli,1000,200,3.033,2820,3033
