profiler,depth,target_wall,samples,expected_at_1khz
phpspy-1khz,10,3.906,3898,3906
phpspy-1khz-S,10,4.120,4105,4120
phpspy-1khz-b65k,10,3.785,3799,3785
phpspy-1khz-Sb65k,10,3.996,3992,3996
reli-1khz,10,3.812,3612,3812
reli-1khz-S,10,4.225,4003,4225
phpspy-1khz,30,3.595,3608,3595
phpspy-1khz-S,30,3.751,3762,3751
phpspy-1khz-b65k,30,3.490,3513,3490
phpspy-1khz-Sb65k,30,4.512,4485,4512
reli-1khz,30,3.786,3578,3786
reli-1khz-S,30,3.907,3700,3907
phpspy-1khz,100,3.193,2221,3193
phpspy-1khz-S,100,3.691,2422,3691
phpspy-1khz-b65k,100,3.145,3189,3145
phpspy-1khz-Sb65k,100,5.565,5465,5565
reli-1khz,100,3.163,3001,3163
reli-1khz-S,100,4.743,4478,4743
phpspy-1khz,200,3.072,1284,3072
phpspy-1khz-S,200,3.772,1437,3772
phpspy-1khz-b65k,200,3.113,3157,3113
phpspy-1khz-Sb65k,200,5.655,5542,5655
reli-1khz,200,3.092,2866,3092
reli-1khz-S,200,4.151,3933,4151
