profiler,depth,run,target_wall,sampler_user,sampler_sys,sampler_rss_kb
baseline,10,1,3.758,3.75,0.00,16176
excimer-1ms,10,1,3.814,3.83,0.00,16124
datadog-prof,10,1,3.875,3.88,0.01,22692
phpspy-1khz,10,1,3.853,0.05,0.11,5052
reli-1khz,10,1,3.883,4.17,0.05,42032
baseline,10,2,4.245,4.24,0.00,16432
excimer-1ms,10,2,4.306,4.32,0.00,16208
datadog-prof,10,2,4.268,4.28,0.01,22620
phpspy-1khz,10,2,3.867,,,
reli-1khz,10,2,3.806,4.07,0.05,42264
baseline,10,3,4.105,4.10,0.01,15872
excimer-1ms,10,3,3.930,3.94,0.00,16136
datadog-prof,10,3,3.766,3.78,0.00,22596
phpspy-1khz,10,3,3.814,,,
reli-1khz,10,3,3.922,4.31,0.06,42176
baseline,10,4,3.989,3.99,0.00,16272
excimer-1ms,10,4,3.769,3.78,0.00,16180
datadog-prof,10,4,3.741,3.75,0.01,22740
phpspy-1khz,10,4,3.748,,,
reli-1khz,10,4,3.751,4.00,0.05,42380
baseline,10,5,3.703,3.70,0.00,16008
excimer-1ms,10,5,3.723,3.74,0.00,16448
datadog-prof,10,5,3.730,3.74,0.01,22512
phpspy-1khz,10,5,3.754,0.05,0.13,5296
reli-1khz,10,5,3.698,3.91,0.05,41820
baseline,30,1,3.365,3.36,0.00,16416
excimer-1ms,30,1,3.398,3.40,0.01,16496
datadog-prof,30,1,3.474,3.48,0.01,22660
phpspy-1khz,30,1,3.409,,,
reli-1khz,30,1,3.448,3.80,0.04,42368
baseline,30,2,3.393,3.39,0.00,16524
excimer-1ms,30,2,3.416,3.43,0.00,16704
datadog-prof,30,2,3.392,3.40,0.00,22816
phpspy-1khz,30,2,3.570,,,
reli-1khz,30,2,3.479,3.82,0.05,42192
baseline,30,3,3.527,3.52,0.00,16476
excimer-1ms,30,3,3.494,3.50,0.00,15980
datadog-prof,30,3,3.421,3.43,0.01,22684
phpspy-1khz,30,3,3.645,,,
reli-1khz,30,3,3.418,3.76,0.05,42548
baseline,30,4,3.506,3.50,0.00,16244
excimer-1ms,30,4,3.877,3.89,0.00,16056
datadog-prof,30,4,3.353,3.36,0.01,22668
phpspy-1khz,30,4,3.515,,,
reli-1khz,30,4,3.457,3.78,0.04,42280
baseline,30,5,3.420,3.42,0.00,16244
excimer-1ms,30,5,3.386,3.39,0.00,16184
datadog-prof,30,5,3.672,3.68,0.01,22404
phpspy-1khz,30,5,3.402,,,
reli-1khz,30,5,3.410,3.73,0.04,42296
baseline,100,1,3.057,3.05,0.00,16460
excimer-1ms,100,1,3.047,3.06,0.00,15752
datadog-prof,100,1,3.229,3.25,0.00,22788
phpspy-1khz,100,1,3.316,,,
reli-1khz,100,1,3.346,4.08,0.08,42220
baseline,100,2,3.196,3.19,0.00,16220
excimer-1ms,100,2,3.219,3.23,0.00,16376
datadog-prof,100,2,3.199,3.21,0.01,22260
phpspy-1khz,100,2,3.185,,,
reli-1khz,100,2,3.277,3.92,0.07,41576
baseline,100,3,3.278,3.27,0.00,16320
excimer-1ms,100,3,3.183,3.19,0.00,16092
datadog-prof,100,3,3.144,3.16,0.00,22768
phpspy-1khz,100,3,3.157,,,
reli-1khz,100,3,3.266,3.98,0.08,42600
baseline,100,4,3.184,3.18,0.00,15812
excimer-1ms,100,4,3.244,3.25,0.00,16232
datadog-prof,100,4,3.215,3.23,0.01,22916
phpspy-1khz,100,4,3.210,,,
reli-1khz,100,4,3.097,3.71,0.06,42220
baseline,100,5,3.129,3.12,0.00,16456
excimer-1ms,100,5,3.103,3.09,0.02,16168
datadog-prof,100,5,3.102,3.12,0.00,22620
phpspy-1khz,100,5,3.263,,,
reli-1khz,100,5,3.120,3.76,0.07,42392
baseline,200,1,3.592,3.58,0.00,15816
excimer-1ms,200,1,3.021,3.03,0.00,16208
datadog-prof,200,1,2.996,3.01,0.00,22260
phpspy-1khz,200,1,3.047,,,
reli-1khz,200,1,3.109,4.14,0.09,42924
baseline,200,2,2.991,2.99,0.00,16136
excimer-1ms,200,2,2.931,2.94,0.00,16556
datadog-prof,200,2,2.969,2.98,0.00,22500
phpspy-1khz,200,2,3.038,,,
reli-1khz,200,2,3.059,4.07,0.10,42928
baseline,200,3,2.952,2.95,0.00,15892
excimer-1ms,200,3,3.009,3.02,0.00,16856
datadog-prof,200,3,2.959,2.97,0.01,22628
phpspy-1khz,200,3,3.066,,,
reli-1khz,200,3,3.062,4.12,0.08,42512
baseline,200,4,3.000,3.00,0.00,16456
excimer-1ms,200,4,2.988,2.99,0.01,16376
datadog-prof,200,4,3.352,3.37,0.01,22708
phpspy-1khz,200,4,3.483,,,
reli-1khz,200,4,3.209,4.86,0.17,42272
baseline,200,5,2.943,2.94,0.00,16088
excimer-1ms,200,5,3.156,3.16,0.00,15928
datadog-prof,200,5,2.953,2.97,0.00,22312
phpspy-1khz,200,5,2.989,,,
reli-1khz,200,5,3.151,4.31,0.12,42536
