config,bench,run,wall_seconds
phpspy-1khz,fib-32,1,0.161
reli-1khz,fib-32,1,0.135
phpspy-1khz,fib-32,2,0.132
reli-1khz,fib-32,2,0.080
phpspy-1khz,fib-32,3,0.104
reli-1khz,fib-32,3,0.074
phpspy-1khz,sort-100k-x10,1,0.120
reli-1khz,sort-100k-x10,1,0.160
phpspy-1khz,sort-100k-x10,2,0.127
reli-1khz,sort-100k-x10,2,0.115
phpspy-1khz,sort-100k-x10,3,0.202
reli-1khz,sort-100k-x10,3,0.157
phpspy-1khz,mandelbrot-200,1,0.069
reli-1khz,mandelbrot-200,1,0.061
phpspy-1khz,mandelbrot-200,2,0.057
reli-1khz,mandelbrot-200,2,0.062
phpspy-1khz,mandelbrot-200,3,0.058
reli-1khz,mandelbrot-200,3,0.056
phpspy-1khz,depth-30,1,0.175
reli-1khz,depth-30,1,0.194
phpspy-1khz,depth-30,2,0.171
reli-1khz,depth-30,2,0.164
phpspy-1khz,depth-30,3,0.168
reli-1khz,depth-30,3,0.167
phpspy-1khz,depth-100,1,0.128
reli-1khz,depth-100,1,0.158
phpspy-1khz,depth-100,2,0.122
reli-1khz,depth-100,2,0.126
phpspy-1khz,depth-100,3,0.133
reli-1khz,depth-100,3,0.129
