config,bench,run,wall_seconds
baseline-jit,fib-37,1,0.265
baseline-jit,fib-37,2,0.247
baseline-jit,fib-37,3,0.245
baseline-jit,fib-37,4,0.244
baseline-jit,fib-37,5,0.266
baseline-jit,fib-37,6,0.254
baseline-jit,fib-37,7,0.248
baseline-jit,fib-37,8,0.273
baseline-jit,fib-37,9,0.239
baseline-jit,fib-37,10,0.250
baseline-jit,sort-100k-x100,1,1.106
baseline-jit,sort-100k-x100,2,1.120
baseline-jit,sort-100k-x100,3,1.154
baseline-jit,sort-100k-x100,4,1.165
baseline-jit,sort-100k-x100,5,1.108
baseline-jit,sort-100k-x100,6,1.127
baseline-jit,sort-100k-x100,7,1.140
baseline-jit,sort-100k-x100,8,1.126
baseline-jit,sort-100k-x100,9,1.117
baseline-jit,sort-100k-x100,10,1.094
baseline-jit,mandelbrot-500,1,0.295
baseline-jit,mandelbrot-500,2,0.301
baseline-jit,mandelbrot-500,3,0.287
baseline-jit,mandelbrot-500,4,0.287
baseline-jit,mandelbrot-500,5,0.305
baseline-jit,mandelbrot-500,6,0.280
baseline-jit,mandelbrot-500,7,0.283
baseline-jit,mandelbrot-500,8,0.282
baseline-jit,mandelbrot-500,9,0.309
baseline-jit,mandelbrot-500,10,0.292
baseline-jit,depth-30-2M,1,0.271
baseline-jit,depth-30-2M,2,0.278
baseline-jit,depth-30-2M,3,0.263
baseline-jit,depth-30-2M,4,0.269
baseline-jit,depth-30-2M,5,0.265
baseline-jit,depth-30-2M,6,0.267
baseline-jit,depth-30-2M,7,0.263
baseline-jit,depth-30-2M,8,0.270
baseline-jit,depth-30-2M,9,0.265
baseline-jit,depth-30-2M,10,0.298
baseline-jit,depth-100-1M,1,0.332
baseline-jit,depth-100-1M,2,0.336
baseline-jit,depth-100-1M,3,0.337
baseline-jit,depth-100-1M,4,0.330
baseline-jit,depth-100-1M,5,0.345
baseline-jit,depth-100-1M,6,0.348
baseline-jit,depth-100-1M,7,0.331
baseline-jit,depth-100-1M,8,0.326
baseline-jit,depth-100-1M,9,0.332
baseline-jit,depth-100-1M,10,0.328
excimer-1ms-jit,fib-37,1,0.242
excimer-1ms-jit,fib-37,2,0.270
excimer-1ms-jit,fib-37,3,0.240
excimer-1ms-jit,fib-37,4,0.247
excimer-1ms-jit,fib-37,5,0.251
excimer-1ms-jit,fib-37,6,0.240
excimer-1ms-jit,fib-37,7,0.281
excimer-1ms-jit,fib-37,8,0.243
excimer-1ms-jit,fib-37,9,0.248
excimer-1ms-jit,fib-37,10,0.240
excimer-1ms-jit,sort-100k-x100,1,1.083
excimer-1ms-jit,sort-100k-x100,2,1.120
excimer-1ms-jit,sort-100k-x100,3,1.196
excimer-1ms-jit,sort-100k-x100,4,1.114
excimer-1ms-jit,sort-100k-x100,5,1.113
excimer-1ms-jit,sort-100k-x100,6,1.128
excimer-1ms-jit,sort-100k-x100,7,1.132
excimer-1ms-jit,sort-100k-x100,8,1.143
excimer-1ms-jit,sort-100k-x100,9,1.139
excimer-1ms-jit,sort-100k-x100,10,1.168
excimer-1ms-jit,mandelbrot-500,1,0.295
excimer-1ms-jit,mandelbrot-500,2,0.312
excimer-1ms-jit,mandelbrot-500,3,0.285
excimer-1ms-jit,mandelbrot-500,4,0.287
excimer-1ms-jit,mandelbrot-500,5,0.284
excimer-1ms-jit,mandelbrot-500,6,0.313
excimer-1ms-jit,mandelbrot-500,7,0.296
excimer-1ms-jit,mandelbrot-500,8,0.285
excimer-1ms-jit,mandelbrot-500,9,0.289
excimer-1ms-jit,mandelbrot-500,10,0.317
excimer-1ms-jit,depth-30-2M,1,0.265
excimer-1ms-jit,depth-30-2M,2,0.266
excimer-1ms-jit,depth-30-2M,3,0.279
excimer-1ms-jit,depth-30-2M,4,0.273
excimer-1ms-jit,depth-30-2M,5,0.266
excimer-1ms-jit,depth-30-2M,6,0.264
excimer-1ms-jit,depth-30-2M,7,0.273
excimer-1ms-jit,depth-30-2M,8,0.273
excimer-1ms-jit,depth-30-2M,9,0.272
excimer-1ms-jit,depth-30-2M,10,0.269
excimer-1ms-jit,depth-100-1M,1,0.331
excimer-1ms-jit,depth-100-1M,2,0.380
excimer-1ms-jit,depth-100-1M,3,0.336
excimer-1ms-jit,depth-100-1M,4,0.326
excimer-1ms-jit,depth-100-1M,5,0.340
excimer-1ms-jit,depth-100-1M,6,0.372
excimer-1ms-jit,depth-100-1M,7,0.341
excimer-1ms-jit,depth-100-1M,8,0.345
excimer-1ms-jit,depth-100-1M,9,0.327
excimer-1ms-jit,depth-100-1M,10,0.330
datadog-prof-jit,fib-37,1,0.263
datadog-prof-jit,fib-37,2,0.250
datadog-prof-jit,fib-37,3,0.256
datadog-prof-jit,fib-37,4,0.245
datadog-prof-jit,fib-37,5,0.266
datadog-prof-jit,fib-37,6,0.240
datadog-prof-jit,fib-37,7,0.243
datadog-prof-jit,fib-37,8,0.251
datadog-prof-jit,fib-37,9,0.241
datadog-prof-jit,fib-37,10,0.240
datadog-prof-jit,sort-100k-x100,1,1.150
datadog-prof-jit,sort-100k-x100,2,1.174
datadog-prof-jit,sort-100k-x100,3,1.106
datadog-prof-jit,sort-100k-x100,4,1.136
datadog-prof-jit,sort-100k-x100,5,1.125
datadog-prof-jit,sort-100k-x100,6,1.123
datadog-prof-jit,sort-100k-x100,7,1.115
datadog-prof-jit,sort-100k-x100,8,1.261
datadog-prof-jit,sort-100k-x100,9,1.398
datadog-prof-jit,sort-100k-x100,10,1.460
