config,bench,run,wall_seconds
baseline,fib-37,1,0.735
baseline,fib-37,2,0.712
baseline,fib-37,3,0.734
baseline,fib-37,4,0.724
baseline,fib-37,5,0.811
baseline,fib-37,6,0.714
baseline,fib-37,7,0.756
baseline,fib-37,8,0.735
baseline,fib-37,9,0.721
baseline,fib-37,10,0.758
baseline,sort-100k-x100,1,1.180
baseline,sort-100k-x100,2,1.137
baseline,sort-100k-x100,3,1.167
baseline,sort-100k-x100,4,1.166
baseline,sort-100k-x100,5,1.161
baseline,sort-100k-x100,6,1.102
baseline,sort-100k-x100,7,1.149
baseline,sort-100k-x100,8,1.132
baseline,sort-100k-x100,9,1.115
baseline,sort-100k-x100,10,1.137
baseline,mandelbrot-500,1,0.536
baseline,mandelbrot-500,2,0.524
baseline,mandelbrot-500,3,0.511
baseline,mandelbrot-500,4,0.519
baseline,mandelbrot-500,5,0.554
baseline,mandelbrot-500,6,0.624
baseline,mandelbrot-500,7,0.538
baseline,mandelbrot-500,8,0.526
baseline,mandelbrot-500,9,0.535
baseline,mandelbrot-500,10,0.525
baseline,depth-30-2M,1,1.659
baseline,depth-30-2M,2,1.708
baseline,depth-30-2M,3,1.632
baseline,depth-30-2M,4,1.632
baseline,depth-30-2M,5,1.606
baseline,depth-30-2M,6,1.623
baseline,depth-30-2M,7,1.600
baseline,depth-30-2M,8,1.668
baseline,depth-30-2M,9,1.648
baseline,depth-30-2M,10,1.601
baseline,depth-100-1M,1,1.280
baseline,depth-100-1M,2,1.242
baseline,depth-100-1M,3,1.244
baseline,depth-100-1M,4,1.219
baseline,depth-100-1M,5,1.249
baseline,depth-100-1M,6,1.229
baseline,depth-100-1M,7,1.249
baseline,depth-100-1M,8,1.317
baseline,depth-100-1M,9,1.244
baseline,depth-100-1M,10,1.261
excimer-1ms,fib-37,1,0.723
excimer-1ms,fib-37,2,0.722
excimer-1ms,fib-37,3,0.720
excimer-1ms,fib-37,4,0.785
excimer-1ms,fib-37,5,0.762
excimer-1ms,fib-37,6,0.707
excimer-1ms,fib-37,7,0.762
excimer-1ms,fib-37,8,0.723
excimer-1ms,fib-37,9,0.762
excimer-1ms,fib-37,10,0.737
excimer-1ms,sort-100k-x100,1,1.127
excimer-1ms,sort-100k-x100,2,1.151
excimer-1ms,sort-100k-x100,3,1.260
excimer-1ms,sort-100k-x100,4,1.344
excimer-1ms,sort-100k-x100,5,1.372
excimer-1ms,sort-100k-x100,6,1.118
excimer-1ms,sort-100k-x100,7,1.212
excimer-1ms,sort-100k-x100,8,1.141
excimer-1ms,sort-100k-x100,9,1.174
excimer-1ms,sort-100k-x100,10,1.164
excimer-1ms,mandelbrot-500,1,0.526
excimer-1ms,mandelbrot-500,2,0.560
excimer-1ms,mandelbrot-500,3,0.520
excimer-1ms,mandelbrot-500,4,0.524
excimer-1ms,mandelbrot-500,5,0.532
excimer-1ms,mandelbrot-500,6,0.517
excimer-1ms,mandelbrot-500,7,0.528
excimer-1ms,mandelbrot-500,8,0.510
excimer-1ms,mandelbrot-500,9,0.537
excimer-1ms,mandelbrot-500,10,0.540
excimer-1ms,depth-30-2M,1,1.630
excimer-1ms,depth-30-2M,2,1.999
excimer-1ms,depth-30-2M,3,1.846
excimer-1ms,depth-30-2M,4,1.794
