config,bench,run,wall_seconds
baseline,fib-32,1,0.084
baseline,fib-32,2,0.078
baseline,fib-32,3,0.066
baseline,sort-100k-x10,1,0.116
baseline,sort-100k-x10,2,0.114
baseline,sort-100k-x10,3,0.108
baseline,mandelbrot-200,1,0.057
baseline,mandelbrot-200,2,0.060
baseline,mandelbrot-200,3,0.064
baseline,depth-30,1,0.161
baseline,depth-30,2,0.170
baseline,depth-30,3,0.160
baseline,depth-100,1,0.124
baseline,depth-100,2,0.121
baseline,depth-100,3,0.123
xdebug-profile,fib-32,1,2.485
xdebug-profile,fib-32,2,2.495
xdebug-profile,fib-32,3,2.480
xdebug-profile,sort-100k-x10,1,0.115
xdebug-profile,sort-100k-x10,2,0.130
xdebug-profile,sort-100k-x10,3,0.114
xdebug-profile,mandelbrot-200,1,0.276
xdebug-profile,mandelbrot-200,2,0.275
xdebug-profile,mandelbrot-200,3,0.279
xdebug-profile,depth-30,1,3.135
xdebug-profile,depth-30,2,3.213
xdebug-profile,depth-30,3,3.233
xdebug-profile,depth-100,1,3.943
xdebug-profile,depth-100,2,3.894
xdebug-profile,depth-100,3,3.813
xhprof,fib-32,1,2.550
xhprof,fib-32,2,2.526
xhprof,fib-32,3,2.455
xhprof,sort-100k-x10,1,0.111
xhprof,sort-100k-x10,2,0.111
xhprof,sort-100k-x10,3,0.108
xhprof,mandelbrot-200,1,0.059
xhprof,mandelbrot-200,2,0.058
xhprof,mandelbrot-200,3,0.065
xhprof,depth-30,1,2.159
xhprof,depth-30,2,2.146
xhprof,depth-30,3,2.104
xhprof,depth-100,1,3.378
xhprof,depth-100,2,3.436
xhprof,depth-100,3,3.262
excimer-1ms,fib-32,1,0.069
excimer-1ms,fib-32,2,0.079
excimer-1ms,fib-32,3,0.064
excimer-1ms,sort-100k-x10,1,0.110
excimer-1ms,sort-100k-x10,2,0.116
excimer-1ms,sort-100k-x10,3,0.116
excimer-1ms,mandelbrot-200,1,0.059
excimer-1ms,mandelbrot-200,2,0.073
excimer-1ms,mandelbrot-200,3,0.072
excimer-1ms,depth-30,1,0.157
excimer-1ms,depth-30,2,0.157
excimer-1ms,depth-30,3,0.174
excimer-1ms,depth-100,1,0.129
excimer-1ms,depth-100,2,0.128
excimer-1ms,depth-100,3,0.120
spx-instr,fib-32,1,1.812
spx-instr,fib-32,2,2.562
spx-instr,fib-32,3,2.551
spx-instr,sort-100k-x10,1,0.135
spx-instr,sort-100k-x10,2,0.113
spx-instr,sort-100k-x10,3,0.112
spx-instr,mandelbrot-200,1,0.056
spx-instr,mandelbrot-200,2,0.061
spx-instr,mandelbrot-200,3,0.056
spx-instr,depth-30,1,2.343
spx-instr,depth-30,2,2.243
spx-instr,depth-30,3,2.294
spx-instr,depth-100,1,3.807
spx-instr,depth-100,2,2.901
spx-instr,depth-100,3,3.708
spx-sample-1ms,fib-32,1,0.169
spx-sample-1ms,fib-32,2,0.162
spx-sample-1ms,fib-32,3,0.159
spx-sample-1ms,sort-100k-x10,1,0.118
spx-sample-1ms,sort-100k-x10,2,0.106
spx-sample-1ms,sort-100k-x10,3,0.118
spx-sample-1ms,mandelbrot-200,1,0.056
spx-sample-1ms,mandelbrot-200,2,0.055
spx-sample-1ms,mandelbrot-200,3,0.058
spx-sample-1ms,depth-30,1,0.307
spx-sample-1ms,depth-30,2,0.307
spx-sample-1ms,depth-30,3,0.316
spx-sample-1ms,depth-100,1,0.418
spx-sample-1ms,depth-100,2,0.386
spx-sample-1ms,depth-100,3,0.387
datadog-prof,fib-32,1,0.067
datadog-prof,fib-32,2,0.075
datadog-prof,fib-32,3,0.078
datadog-prof,sort-100k-x10,1,0.113
datadog-prof,sort-100k-x10,2,0.107
datadog-prof,sort-100k-x10,3,0.108
datadog-prof,mandelbrot-200,1,0.056
datadog-prof,mandelbrot-200,2,0.055
datadog-prof,mandelbrot-200,3,0.056
datadog-prof,depth-30,1,0.161
datadog-prof,depth-30,2,0.163
datadog-prof,depth-30,3,0.160
datadog-prof,depth-100,1,0.120
datadog-prof,depth-100,2,0.131
datadog-prof,depth-100,3,0.119
